ID	GLOSS	SEMANTICFIELD	DEFINITION	ONTOLOGICAL_CATEGORY	REPLACEMENT_ID
1192	THREATEN	Speech and language	To make a threat of injury or punishment against someone.	Action/Process	
1193	STEAM	The physical world	The gas phase of water.	Person/Thing	
1194	BEAVER	Animals	A mammal of the genus Castor, having a wide, flat tail and webbed feet.	Person/Thing	
1195	GIVE BIRTH	Kinship	To release an offspring from one's own body; to cause to be born.	Action/Process	
1196	PENALTY	Law	Punitive sanction taken against someone who has broken the law.	Person/Thing	390
1197	BABOON	Animals	Large ground based monkey having doglike muzzles.	Person/Thing	
1198	MANY	Quantity	An indefinite large number of.	Other	
1199	WIFE	Kinship	The female partner in a marriage.	Person/Thing	
1200	HUSBAND	Kinship	The male partner in a marriage.	Person/Thing	
1201	FEATHER	The body	A branching, hair-like structure that grows on the skin of birds and protects them against coldness and water and allows their wings to create lift.	Person/Thing	
1202	BIG	Spatial relations	Of a great size.	Property	
1203	LONG	Spatial relations	Having much distance from one terminating point on an object or an area to another terminating point.	Property	
1204	BARK	Agriculture and vegetation	The exterior covering of the trunk and branches of a tree.	Person/Thing	
1205	TONGUE	The body	The flexible muscular organ in the mouth that is used to move food around, for tasting and that is moved into various positions to modify the flow of air from the lungs in order to produce different sounds.	Person/Thing	
1206	BARKING	Animals	To produce a loud, short, explosive sound similar to that of a dog.	Action/Process	
1207	YOUNG	Time	In the early part of growth or life.	Property	
1208	CAT	Animals	A common four-legged animal (Felis silvestris) that is often kept as a household pet.	Person/Thing	
1209	I	Kinship	The speaker or writer referring to himself or herself alone.	Other	
1210	HEAVY	Sense perception	Of a physical object, having great weight.	Property	
1211	HE	Kinship	A male other; the male previously mentioned; himself.  3rd person singular masculine subject pronoun.	Other	
1212	WE	Kinship	The speaker or writer and at least one other person.	Other	
1213	YOU	Kinship	The group of persons addressed.	Other	
1214	THIS	Miscellaneous function words	The indicated object, item, etc. close to the speaker.	Other	
1215	THOU	Kinship	The person addressed.	Other	
1216	MOTHER	Kinship	A woman who has at least one child.	Person/Thing	
1217	FATHER	Kinship	A male parent.	Person/Thing	
1218	ROPE	Basic actions and technology	Thick, strong string made of several strands that have been twisted together.	Person/Thing	
1219	WORM	Animals	A generally tubular invertebrate of the annelid phylum.	Person/Thing	
1220	TAIL	The body	The appendage of an animal that is attached to its posterior and near the anus.	Person/Thing	
1221	NOSE	The body	The organ of the face used to breath and smell.	Person/Thing	
1222	PENIS	The body	The male sexual organ for copulation and urination; the tubular portion of the male genitalia (excluding the scrotum).	Person/Thing	
1223	HEART	The body	A muscular organ that pumps blood through the body.	Person/Thing	
1224	LIVER	The body	A large organ in the body that stores and metabolizes nutrients, destroys toxins and produces bile. Responsible for thousands of biochemical reactions.	Person/Thing	
1225	DAY (NOT NIGHT)	Time	The period between sunrise and sunset where one enjoys daylight.	Person/Thing	
1226	YEAR	Time	The time it takes the Earth to complete one revolution of the Sun (between 365.24 and 365.26 days depending on the point of reference).	Person/Thing	
1227	BOARD	The house	A piece of wood or similar material that has been sawn into a regular shape, usually in preparation for using it in some sort of construction.	Person/Thing	
1228	EARTH (SOIL)	The physical world	The soft and loose material forming a great part of the Earth surface.	Person/Thing	
1229	OLD	Time	Having lived or existed for a relatively long period of time.	Property	
1230	DIRTY	Sense perception	Covered with or containing unpleasant substances such as dirt or grime.	Property	
1231	NEW	Time	Recently made, created or begun.	Property	
1232	WARM	Sense perception	Having a temperature slightly higher than usual, still pleasant.	Property	
1233	NIGHT	Time	The period between sunset and sunrise, when a location faces far away from the sun, thus when the sky is dark.	Person/Thing	
1234	SMOOTH	Sense perception	Not rough; having a surface texture that lacks friction.	Property	
1235	WHO	Cognition	What person or people; which person or people.	Other	
1236	WHAT	Cognition	Which thing.	Other	
1237	WHERE	Cognition	At what place?	Other	
1238	WHEN	Cognition	at what time	Other	
1239	HOW	Cognition	In what way.	Other	
1240	NOT	Miscellaneous function words	Negates the meaning of the modified verb or adjective.	Other	
1241	SOME	Quantity	An unspecified quantity or number of.	Other	
1242	FEW	Quantity	More than one, but not as many as usual or as expected.	Other	
1243	WIDE	Spatial relations	Having a long distance or area between two points, especially horizontally.	Property	
1244	THICK	Spatial relations	Relatively large distance from one surface to the opposite in its smallest solid dimension.	Property	
1245	BUTTER	Food and drink	A soft, fatty foodstuff that is made by churning the cream of milk (most often cows milk).	Person/Thing	
1246	SMALL	Spatial relations	Not large or big; small in size.	Property	
1247	EAR	The body	The organ of hearing, consisting of the pinna, auditory canal, eardrum, malleus, incus, stapes and cochlea.	Person/Thing	
1248	EYE	The body	The organ that is sensitive to light, which it converts to electrical signals passed to the brain, by which means animals see.	Person/Thing	
1249	SPIKE	Agriculture and vegetation	The fruiting body of a grain plant.	Person/Thing	
1250	JAGUAR	Animals	A carnivorous spotted large cat native to South and Central America.	Person/Thing	
1251	BELLY	The body	The lower part of the front of the torso (or a comparable part of an animal), confined by the upper side by the midriff and the lowerside by the pelvis. Contains the intestines.	Person/Thing	
1252	HOUSE	The house	The abode of a human being, their place of residence.	Person/Thing	
1253	RAIN (RAINING)	The physical world	To fall from the clouds in drops of water.	Action/Process	
1254	HANDLE	Basic actions and technology	A part of an object meant to hold that object with (e.g. the handle of a mug, pan or bag).	Person/Thing	
1255	SNOWING	The physical world	To fall from the clouds in the form of ice crystals.	Action/Process	
1256	HEAD	The body	The part of the body of an animal or human which contains the brain, mouth and main sense organs.	Person/Thing	
1257	WING	The body	The appendage of an animal's (bird, bat, insect) body that enables it to fly in the air.	Person/Thing	
1258	FINGERNAIL	The body	The hard, flat, translucent covering near the tip of a human finger, useful for scratching and fine manipulation.	Person/Thing	
1259	WEDDING	Kinship	A ceremony celebrating the beginning of a marriage, during which the marrying parties exchanges vows.	Person/Thing	
1260	DAY (24 HOURS)	Time	A period of time lasting 24 hours	Person/Thing	
1261	SING	Speech and language	To produce harmonious sounds with one's voice.	Action/Process	
1262	BROTHER	Kinship	A male person who has the same parents as another person.	Person/Thing	
1263	SISTER	Kinship	A female person who has the same parents as another person.	Person/Thing	
1264	CHANGE	Spatial relations	To make different.	Action/Process	
1265	HIGH	Spatial relations	Being in a position comparatively far above to the ground.	Property	
1266	BRIDE	Kinship	A woman who is going to get married or has just got married.	Person/Thing	
1267	NARROW	Spatial relations	(Of a path, cave etc.) having a small width.	Property	
1268	YES	Cognition	A word used to show agreement or affirmation of something.	Other	
1269	NO	Cognition	A word used to show disagreement of something.	Other	
1270	WHY	Cognition	For what reason.	Other	
1271	DELIGHT	Emotions and values	To give pleasure to; to make happy or satisfied.	Action/Process	
1272	AUNT	Kinship	A woman with one or more siblings who have one or more children; a sister of someone's father or mother.	Person/Thing	
1273	CANDLE	The house	A light source consisting of a wick embedded in a solid, flammable substance such as wax, tallow, or paraffin.	Person/Thing	
1274	SALT	Food and drink	A condiment (NaCl - Sodium Chloride) used to add to or enhance the flavour of food (commonly with pepper).	Person/Thing	
1275	ANSWER	Speech and language	To communicate a message of any form in reaction to something that has been asked or expressed, to the being who expressed it; to react verbally.	Action/Process	
1276	AUTUMN	Time	The season after summer and before winter, traditionally from September 21 to December 20 in the northern hemisphere and from March 21 to June 20 in the southern hemisphere.	Person/Thing	
1277	HAND	The body	That part of the fore limb below the forearm or wrist in primates (including humans).	Person/Thing	
1278	VOMIT	The body	To regurgitate the contents of the stomach.	Action/Process	
1279	FAT (OBESE)	Spatial relations	Carrying a larger-than-normal amount of fat or weight.	Property	
1280	FALL	Motion	To descend in free fall due to the effect of gravity.	Action/Process	
1281	PRISON	Law	A place in which individual persons have restricted personal freedom.	Person/Thing	
1282	FAT (FROM ANIMALS)	Food and drink	The semisolid substance from animals which is used for cooking and as food.	Person/Thing	
1283	TODAY	Time	On the current day or date.	Other	
1284	BANK	Modern world	A financial institution where one can borrow money (upon which interest is due) or deposit money (in order to collect interest).	Person/Thing	
1285	IMPORTANT	Emotions and values	Having relevant and crucial value.	Property	
1286	HOT	Sense perception	Having a very high temperature.	Property	
1287	COLD	Sense perception	Having a low temperature.	Property	
1288	CAP	Clothing and grooming	A usually soft and close-fitting head covering, either having no brim or with a visor.	Person/Thing	
1289	BABY	Kinship	A very young human being, from birth to a year old.	Person/Thing	
1290	ELEPHANT	Animals	A mammal of the order Proboscidea, having a trunk, and two large ivory tusks jutting from the upper jaw. Elephants are the largest land animals now existing.	Person/Thing	
1291	BACK	The body	The rear of body, especially the part between the neck and the end of the spine and opposite the chest and belly.	Person/Thing	
1292	BAD	Emotions and values	Not good; unfavorable; negative.	Property	
