ID	NUMBER	ENGLISH	SIL_1980_281	SIL_2002_436	MATISOFF_1978_200	SWADESH_1955_100	SWADESH_1952_200	CONCEPTICON_ID	CONCEPTICON_GLOSS
Mann-2004-500-272	272	naked	---	naked	---	---	---	590	NAKED
Mann-2004-500-273	273	name	name	name	name	name	name	1405	NAME
Mann-2004-500-274	274	narrow	narrow	narrow	---	---	narrow	1267	NARROW
Mann-2004-500-275	275	navel	---	navel	---	---	---	1838	NAVEL
Mann-2004-500-276	276	navel	---	---	navel	---	---	1838	NAVEL
Mann-2004-500-277	277	near	near	near	near	---	near	1942	NEAR
Mann-2004-500-278	278	neck	neck	---	neck	neck	neck	1333	NECK
Mann-2004-500-279	279	needle	---	needle	needle	---	---	1382	NEEDLE (FOR SEWING)
Mann-2004-500-280	280	new	new	new	new	new	new	1231	NEW
Mann-2004-500-281	281	night	night	night	night	night	night	1233	NIGHT
Mann-2004-500-282	282	nine	nine	nine	nine	---	---	1483	NINE
Mann-2004-500-283	283	noon	---	noon	---	---	---	12	MIDDAY
Mann-2004-500-284	284	north	---	north	---	---	---	1598	NORTH
Mann-2004-500-285	285	nose	nose	nose	nose	nose	nose	1221	NOSE
Mann-2004-500-286	286	not	not	---	---	not	not	1240	NOT
Mann-2004-500-287	287	old	old	old	old	---	old	1229	OLD
Mann-2004-500-288	288	one	one	one	one	one	one	1493	ONE
Mann-2004-500-289	289	opium	---	opium	---	---	---	2498	OPIUM
Mann-2004-500-290	290	other	---	different	---	---	other	197	OTHER
Mann-2004-500-291	291	otter	---	---	otter	---	---	15	OTTER
Mann-2004-500-292	292	palm	palm	palm	palm	---	---	1181	PALM TREE
Mann-2004-500-293	293	---	pangolin	---	---	---	---	2508	PANGOLIN
Mann-2004-500-294	294	papaya	papaya	---	---	---	---	2445	PAPAYA
Mann-2004-500-295	295	paper	---	paper	---	---	---	648	PAPER
Mann-2004-500-296	296	pay	---	pay	---	---	---	718	PAY
Mann-2004-500-297	297	peanut	---	peanut	---	---	---	2364	PEANUT
Mann-2004-500-298	298	peas, beans	---	---	peas, beans	---	---	2574	BEAN OR PEA
Mann-2004-500-299	299	penis	---	---	penis	---	---	1222	PENIS
Mann-2004-500-300	300	person	person	person	person	person	person	683	PERSON
Mann-2004-500-301	301	pestle	pestle	pestle	---	---	---	225	PESTLE
Mann-2004-500-302	302	pangolin	---	pangolin	---	---	---	2508	PANGOLIN
Mann-2004-500-303	303	papaya	papaya	papaya	---	---	---	2445	PAPAYA
Mann-2004-500-304	304	pig	pig	pig	pig	---	---	1337	PIG
