ID	NUMBER	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	PERCEPTUAL_DOMINANT	VISUAL_MEAN	HAPTIC_MEAN	AUDITORY_MEAN	GUSTATORY_MEAN	OLFACTORY_MEAN	PERCEPTUAL_EXCLUSIVITY	RANDOM_SET	PARTICIPANTS
Winter-2016-300-160	160	loosen	LOOSEN	1933	Haptic	2.166666667	4.5	0.333333333	0	0	0.642857143	yes	6
Winter-2016-300-161	161	lubricate			Haptic	2.833333333	4.166666667	0.166666667	0	0.333333333	0.555555556	yes	6
Winter-2016-300-162	162	manipulate			Haptic	1.5	4.333333333	1	0	0	0.634146341	no	6
Winter-2016-300-163	163	mark			Visual	3.5	2.833333333	0.833333333	0	0	0.488372093	no	6
Winter-2016-300-164	164	massage	MASSAGE (SOMEBODY)	3119	Haptic	1.181818182	4.818181818	0	0	0	0.803030303	no	11
Winter-2016-300-165	165	maul			Haptic	1.8	3.8	0.2	0.8	0.6	0.5	no	5
Winter-2016-300-166	166	meet	MEET	1831	Visual	3.166666667	2.5	1.666666667	0.166666667	0.166666667	0.391304348	no	6
Winter-2016-300-167	167	mope			Auditory	1.2	1.2	2	0.6	0.8	0.24137931	yes	5
Winter-2016-300-168	168	move			Haptic	2.8	3	1.4	0.8	0.6	0.279069767	no	5
Winter-2016-300-169	169	narrate			Auditory	3.5	0.5	4	0	0.166666667	0.489795918	yes	6
Winter-2016-300-170	170	negotiate			Visual	3.111111111	1.444444444	2.444444444	0.444444444	0	0.417910448	yes	9
Winter-2016-300-171	171	nibble			Gustatory	1.142857143	1.142857143	0.142857143	4.285714286	0.571428571	0.568627451	no	7
Winter-2016-300-172	172	nose			Olfactory	0.8	1	0.4	0.6	3	0.448275862	no	5
Winter-2016-300-173	173	note			Visual	1.571428571	1.428571429	1	0	0	0.392857143	no	7
Winter-2016-300-174	174	notice	NOTICE (SOMETHING)	2893	Visual	4.777777778	2.333333333	3.444444444	1.888888889	2.888888889	0.188405797	no	9
Winter-2016-300-175	175	nudge			Haptic	1.909090909	3.818181818	0	0	0	0.666666667	no	11
Winter-2016-300-176	176	observe			Visual	4.833333333	0.5	2.166666667	0.666666667	0.833333333	0.481481481	yes	6
Winter-2016-300-177	177	ogle			Visual	4.4	0.4	1	0	0	0.75862069	no	5
Winter-2016-300-178	178	outlive			Visual	2.333333333	1	1.166666667	0.5	0.5	0.333333333	yes	6
Winter-2016-300-179	179	overhear			Auditory	0.166666667	0	4.833333333	0	0	0.966666667	yes	6
Winter-2016-300-180	180	oversee			Visual	4.666666667	1	2.666666667	0.166666667	0.333333333	0.509433962	yes	6
Winter-2016-300-181	181	palpate			Haptic	0.625	4.625	0.625	0	0	0.787234043	no	8
Winter-2016-300-182	182	partake			Visual	2.833333333	2	2	2.333333333	1.5	0.125	no	6
Winter-2016-300-183	183	pat			Haptic	1	4.4	0	0	0	0.814814815	no	5
