ID	NUMBER	IDS_KEY	ENGLISH	GERMAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
List-2020-1365-1310	1310	20-560	bait	der Köder	2013	BAIT
List-2020-1365-1311	1311	20-610	hunt	jagen	1435	HUNT
List-2020-1365-1312	1312	20-620	shoot	schießen	1172	SHOOT
List-2020-1365-1313	1313	20-630	miss (target)	verfehlen	161	MISS (A TARGET)
List-2020-1365-1314	1314	20-640	trap (noun)	die Falle	1075	TRAP (PITFALL)
List-2020-1365-1315	1315	20-650	trap (vb)	fangen (mit einer Falle einfangen)	1170	TRAP (CATCH)
List-2020-1365-1316	1316	21-110	law	das Gesetz	1062	LAW
List-2020-1365-1317	1317	21-150	court	das Gericht	1068	COURT
List-2020-1365-1318	1318	21-160	judge (vb)	urteilen	1818	ADJUDICATE
List-2020-1365-1319	1319	21-170	judgment	das Urteil	1067	JUDGMENT
List-2020-1365-1320	1320	21-180	judge (noun)	der Richter	861	JUDGE
List-2020-1365-1321	1321	21-210	plaintiff	der Kläger	2020	PLAINTIFF
List-2020-1365-1322	1322	21-220	defendant	der Angeklagte	1034	DEFENDANT
List-2020-1365-1323	1323	21-230	witness	der Zeuge	1144	WITNESS
List-2020-1365-1324	1324	21-240	swear	schwören	1939	SWEAR
List-2020-1365-1325	1325	21-250	oath	der Schwur	1712	OATH
List-2020-1365-1326	1326	21-310	accuse	anklagen, beschuldigen	1814	ACCUSE
List-2020-1365-1327	1327	21-320	condemn	verurteilen	484	CONDEMN
List-2020-1365-1328	1328	21-330	convict (vb)	überführen	983	CONVICT
List-2020-1365-1329	1329	21-340	acquit	freisprechen	988	ACQUIT
List-2020-1365-1330	1330	21-350	guilty	schuldig	1682	GUILTY
List-2020-1365-1331	1331	21-360	innocent	unschuldig	90	INNOCENT
List-2020-1365-1332	1332	21-370	penalty, punishment	die Strafe	390	PUNISHMENT
List-2020-1365-1333	1333	21-380	fine	das Bußgeld	218	FINE (PENALTY)
List-2020-1365-1334	1334	21-390	prison, jail	das Gefängnis	1281	PRISON
List-2020-1365-1335	1335	21-420	murder	der Mord	845	MURDER
