ID	NUMBER	SPANISH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	GLOSS_IN_DIGITAL_SOURCE
Huber-1992-375-269	317	piel peluda	fur	580	FUR	PIEL PELUDA_FUR
Huber-1992-375-270	25	pierna	leg	1297	LEG	PIERNA_LEG
Huber-1992-375-271	242	pierna inferior	lower leg	447	LOWER LEG	LA PIERNA INFERIOR_LOWER LEG
Huber-1992-375-272	143	piojo	louse	1392	LOUSE	PIOJO_LOUSE
Huber-1992-375-273	174	plátano	plantain	399	PLANTAIN	PLUMA_FEATHER
Huber-1992-375-274	270	pluma	feather	1201	FEATHER	PLÁTANO_PLANTAIN
Huber-1992-375-275	308	pocos	few	1242	FEW	POCO_FEW
Huber-1992-375-276	341	podrido	rotten	1728	ROTTEN	PODRIDO_ROTTEN
Huber-1992-375-277	372	polvo	dust	2	DUST	POLVO_DUST
Huber-1992-375-278	289	ponerse en pie, de pie	stand	570	STAND UP	PONERSE EN PIE, DE PIE_STAND
Huber-1992-375-279	92	porra, macana	club	1763	CLUB	PORRA, MACANA_CLUB
Huber-1992-375-280	191	primero	first	728	FIRST	PRIMERO_FIRST
Huber-1992-375-281	77	puerta	doorway	1567	DOOR	PUERTA_DOORWAY
Huber-1992-375-282	142	pulga	flea	232	FLEA	PULGA_FLEA
Huber-1992-375-283	35	pulmones	lungs	688	LUNG	PULMONES_LUNGS
Huber-1992-375-284	235	punta de la lengua	tip of tongue	443	TIP (OF TONGUE)	PUNTA DE LA LENGUA_TIP OF TONGUE
Huber-1992-375-285	354	punzar, chuzar	pierce	398	PIERCE	PUNZAR_PIERCE
Huber-1992-375-286	259	que	what	1236	WHAT	QUÉ_WHAT
Huber-1992-375-287	250	quebrada	stream	947	STREAM	QUEBRADA, CAÑO_STREAM
Huber-1992-375-288	292	quemar, arder	burn	2102	BURN	ARDER_BURN
Huber-1992-375-289	258	quién	who	1235	WHO	QUIÉN_WHO
