ID	NUMBER	ENGLISH	ENGLISH_FREQUENCY	SPANISH_FREQUENCY	RUSSIAN_FREQUENCY	GREEK_FREQUENCY	PORTUGUESE_FREQUENCY	CHINESE_FREQUENCY	SWAHILI_FREQUENCY	CHILEAN_FREQUENCY	FINNISH_FREQUENCY	ESTONIAN_FREQUENCY	FRENCH_FREQUENCY	TURKISH_FREQUENCY	CZECH_FREQUENCY	POLISH_FREQUENCY	BASQUE_FREQUENCY	MAORI_FREQUENCY	TOK_PISIN_FREQUENCY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Calude-2011-200-42	42	FAT (SUBSTANCE)	1.3222192947	1.1674910873	1.5342800052	0.936403443	1.3091568219	1.9235030669	2.3502480183	1.1761555942	0.5900874405	1.2041199827	1.0310042814	2.4913616938	1.6777893911	0.9209345504	1.4216039269	0.4771212547	1.987313389	323	FAT (ORGANIC SUBSTANCE)
Calude-2011-200-43	43	FATHER	2.4014005408	2.6982029253	2.7340954297	2.1206479724	2.718464781	2.3455697561	1.1903316982	2.4700019124	2.1423010592	2.7701152948	2.6758699553	2.1055101848	2.5860018503	2.2708599161	1.9095560292	2.6374897295	3.3323134927	1217	FATHER
Calude-2011-200-44	44	TO FEAR	1.7242758696	1.5923727239	2.5262487899	2.0678788049	2.0629578341	1.517987203	2.213517757	1.5893786021	1.2869593998	2.5145477527	1.1863912157	0.5440680444	2.2072572587	1.6497890399	2.0025979807	1.9956351946		1419	FEAR (BE AFRAID)
Calude-2011-200-45	45	FEATHER (LARGE)	1.1139433523	1.2712948082	1.6621909909	1.1443643369	2.4222614508	1.3416323358	0.6020599913	1.0087893656	-0.0985417305	1.531478917	1.4427932259	1.8920946027	1.5227049927	1.2163125491	1.5797835966	1.69019608	1.5101921342	1201	FEATHER
Calude-2011-200-46	46	FEW	2.6532125138	3.0681312713	2.3983740862	2.9732328891	2.9860747121	2.4631012847	2.624797579	2.6641988904	2.0909650966	3.2593549273	3.0534971628	2.564073979	2.7207627601	2.5162150251	2.8452221064	1.9084850189	2.2589337553	1242	FEW
Calude-2011-200-47	47	TO FIGHT	2.0334237555	1.547702329	1.803388825	1.5230364353	1.1812081899	1.9582293142	2.1717264537	1.4891143694	1.0034478081	1.3010299957	1.5398285584	1.531478917	1.9488529062	2.1392772311	1.631443769	2.2227164711	2.7671846197	1423	FIGHT
Calude-2011-200-48	48	FIRE	2.1613680022	1.7040495299	2.3503061789	1.8617836029	2.2439195296	1.9582293142	2.6079908585	1.8857882673	2.7475041532	2.559906625	2.1883096302	2.0128372247	2.0105543515	1.7835859965	2.1863912157	2.1673173347	3.217458076	221	FIRE
Calude-2011-200-49	49	FISH	2.0211892991	1.2780807976	2.0480531731	1.2970756517	1.9313448468	2.2616672288	2.0453229788	1.372339109	1.1055782522	2.1461280357	1.436162647	2.4771212547	1.9638822289	1.5625836188	2.0704073217	2.4265112614	3.0347736938	227	FISH
Calude-2011-200-50	50	FIVE	2.611723308	2.576916956	2.5036409005	2.4087588817	2.3461790479	2.5555055635	2.7411515989		2.287484862	2.7387805585	2.3351970451	2.5105450102	2.5679551626	2.20302684	2.5132176001	2.8444771757	1.1422153489	493	FIVE
Calude-2011-200-51	51	TO FLOAT	1.3010299957	0.8487323247	1.7126497016	0.7690420152	1.0133054668	1.3213912783	1.4771212547	1.1674486209	-0.1528993928	1.4471580313	0.8129133566	1.748188027	1.3604040547	1.6305634649	0.6812412374	2.2833012287		1574	FLOAT
