ID	NUMBER	ENGLISH	RUSSIAN	SEMANTIC_LINKS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Starostin-2017-401-257	257	RIB	РЕБРО		801	RIB
Starostin-2017-401-258	258	RIGHT (adj.)	ПРАВЫЙ		1019	RIGHT
Starostin-2017-401-259	259	RIPE	СПЕЛЫЙ		178	RIPE
Starostin-2017-401-260	260	RISE (of sun)	ВСТАВАТЬ (о солнце)	STAND	568	RISE (MOVE UPWARDS)
Starostin-2017-401-261	261	RIVER	РЕКА	LAKE; WATER	666	RIVER
Starostin-2017-401-262	262	ROAD	ДОРОГА		667	ROAD
Starostin-2017-401-263	263	ROAST (vb.)	ЖАРИТЬ	BURN2	1962	ROAST (SOMETHING)
Starostin-2017-401-264	264	ROLL (vb.)	КАТИТЬСЯ	ROUND; TURN	827	ROLL
Starostin-2017-401-265	265	ROOT	КОРЕНЬ	BOTTOM; VEIN	670	ROOT
Starostin-2017-401-266	266	ROPE	ВЕРЕВКА	BIND	1218	ROPE
Starostin-2017-401-267	267	ROTTEN	ГНИЛОЙ	PUS; SOUR	1728	ROTTEN
Starostin-2017-401-268	268	ROUND (adj.)	КРУГЛЫЙ	EGG; ROLL	1395	ROUND
Starostin-2017-401-269	269	RUB (vb.)	ТЕРЕТЬ		1449	RUB
Starostin-2017-401-270	270	RUN (vb.)	БЕЖАТЬ	FLY1; HARE	1519	RUN
Starostin-2017-401-271	271	SALIVA	СЛЮНА	SPIT	1503	SALIVA
Starostin-2017-401-272	272	SALT	СОЛЬ	BITTER	1274	SALT
Starostin-2017-401-273	273	SAND	ПЕСОК	DUST; EARTH1	671	SAND
Starostin-2017-401-274	274	SATIATED	СЫТЫЙ	FULL	106	SATIATED
Starostin-2017-401-275	275	SAY	СКАЗАТЬ	SPEAK; THINK; WORD	1458	SAY
Starostin-2017-401-276	276	SCRATCH	ЦАРАПАТЬ	NAIL	1436	SCRATCH
Starostin-2017-401-277	277	SEARCH	ИСКАТЬ		1468	LOOK FOR
Starostin-2017-401-278	278	SEE	ВИДЕТЬ	EYE; FIND; KNOW; SHOW; UNDERSTAND	1409	SEE
Starostin-2017-401-279	279	SEED	СЕМЯ	CHILD; GROW	714	SEED
Starostin-2017-401-280	280	SELF	САМ	BODY	1993	SELF
Starostin-2017-401-281	281	SEND	ПОСЫЛАТЬ	COME	1127	SEND
Starostin-2017-401-282	282	SHADOW	ТЕНЬ	COLD	1388	SHADE
Starostin-2017-401-283	283	SHAKE (tr.)	ТРЯСТИ	TREMBLE	1909	SHAKE
Starostin-2017-401-284	284	SHARP	ОСТРЫЙ		1396	SHARP
Starostin-2017-401-285	285	SHINE (of sun)	СВЕТИТЬ (о солнце)	LIGHT1; MOON; STAR; WHITE	708	SHINE
Starostin-2017-401-286	286	SHIT (n.)	ДЕРЬМО		675	FAECES (EXCREMENT)
Starostin-2017-401-287	287	SHOOT (arrow)	СТРЕЛЯТЬ	ARROW; THROW	1172	SHOOT
Starostin-2017-401-288	288	SHORT	КОРОТКИЙ	SMALL	1645	SHORT
Starostin-2017-401-289	289	SHOULDER	ПЛЕЧО	BACK1	1482	SHOULDER
Starostin-2017-401-290	290	SHOW (vb.)	ПОКАЗЫВАТЬ	SEE	1039	SHOW
Starostin-2017-401-291	291	SINEW	ЖИЛА	THREAD; VEIN	1137	TENDON
Starostin-2017-401-292	292	SING	ПЕТЬ	DANCE	1261	SING
