ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	GBIF_ID	GBIF_NAME	KINGDOM	CLASS	GENUS
Brid-2022-324-115	115	sheep	1331	SHEEP	oveja					
Brid-2022-324-116	116	goat	1502	GOAT	cabra					
Brid-2022-324-117	117	he-goat	2475	MALE GOAT	chivo, macho cabrío					
Brid-2022-324-118	118	ant	587	ANT	hormiga					
Brid-2022-324-119	119	Rhea americana				2495165	Rhea americana (Linnaeus, 1758)	Animalia	Aves	Rhea
Brid-2022-324-120	120	leg	1297	LEG	pierna, pata					
Brid-2022-324-121	121	footprint	318	FOOTPRINT	huella					
Brid-2022-324-122	122	altar	853	ALTAR	altar					
Brid-2022-324-123	123	burn (vb intrans)	1428	BURNING	arder					
Brid-2022-324-124	124	bed	1663	BED	cama					
Brid-2022-324-125	125	sleep	1585	SLEEP	dormir					
