ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	CATEGORY
BirketSmith-1928-510-343	343	Younger brother (of man)	2416	YOUNGER BROTHER (OF MAN)	Relationship
BirketSmith-1928-510-344	344	Younger sister (of woman)	2421	YOUNGER SISTER (OF WOMAN)	Relationship
BirketSmith-1928-510-345	345	Elder sister (of man)	2418	OLDER SISTER (OF MAN)	Relationship
BirketSmith-1928-510-346	346	Elder brother (of woman)	2415	OLDER BROTHER (OF WOMAN)	Relationship
BirketSmith-1928-510-347	347	Younger sister (of man)	2420	YOUNGER SISTER (OF MAN)	Relationship
BirketSmith-1928-510-348	348	Younger brother (of woman)	2417	YOUNGER BROTHER (OF WOMAN)	Relationship
BirketSmith-1928-510-349	349	Father's brother	1985	PATERNAL UNCLE (FATHER'S BROTHER)	Relationship
BirketSmith-1928-510-350	350	Father's sister	2691	PATERNAL AUNT (FATHER'S SISTER)	Relationship
BirketSmith-1928-510-351	351	Mother's brother	2692	MATERNAL UNCLE (MOTHER'S BROTHER)	Relationship
BirketSmith-1928-510-352	352	Mother's sister	2693	MATERNAL AUNT (MOTHER'S SISTER)	Relationship
BirketSmith-1928-510-353	353	Cousin (male line)			Relationship
BirketSmith-1928-510-354	354	Cousin (female line)			Relationship
BirketSmith-1928-510-355	355	Man's brother's child			Relationship
BirketSmith-1928-510-356	356	Woman's brother's child			Relationship
BirketSmith-1928-510-357	357	Man's sister's child			Relationship
BirketSmith-1928-510-358	358	Woman's sister's child			Relationship
BirketSmith-1928-510-359	359	Father in law	1055	FATHER-IN-LAW	Relationship
BirketSmith-1928-510-360	360	Mother in law	1050	MOTHER-IN-LAW	Relationship
BirketSmith-1928-510-361	361	Son in law	1056	SON-IN-LAW	Relationship
BirketSmith-1928-510-362	362	Man's sister's husband			Relationship
BirketSmith-1928-510-363	363	Daughter in law	1057	DAUGHTER-IN-LAW	Relationship
BirketSmith-1928-510-364	364	Woman's brother's wife			Relationship
BirketSmith-1928-510-365	365	Wife's brother	2380	BROTHER-IN-LAW (OF MAN)	Relationship
BirketSmith-1928-510-366	366	Husband's sister			Relationship
BirketSmith-1928-510-367	367	Man's brother's wife			Relationship
BirketSmith-1928-510-368	368	Wife's sister			Relationship
BirketSmith-1928-510-369	369	Woman's sister's husband			Relationship
BirketSmith-1928-510-370	370	Husband's brother			Relationship
BirketSmith-1928-510-371	371	Wife's younger sister's husband			Relationship
BirketSmith-1928-510-372	372	Husband's younger brother's wife			Relationship
BirketSmith-1928-510-373	373	Wife's elder sister's husband			Relationship
BirketSmith-1928-510-374	374	Husband's elder brother's wife			Relationship
BirketSmith-1928-510-375	375	Son's father-in-law			Relationship
BirketSmith-1928-510-376	376	Daughter's father-in-law			Relationship
BirketSmith-1928-510-377	377	Son's mother-in-law			Relationship
BirketSmith-1928-510-378	378	Daughter's mother-in-law			Relationship
BirketSmith-1928-510-379	379	Adopted father			Relationship
BirketSmith-1928-510-380	380	Adopted mother			Relationship
BirketSmith-1928-510-381	381	Adopted son			Relationship
BirketSmith-1928-510-382	382	Adopted daughter			Relationship
