ID	NUMBER	SOURCE_ID	ENGLISH	POS	CONCEPTICON_ID	CONCEPTICON_GLOSS	HUNGARIAN	LATIN	POLISH	DEFINITION
Kornai-2018-1400-239	239	1211	card	N	2619	CARD	kártya	charta	karta	artefact, flat, rectangular, stiff, paper
Kornai-2018-1400-240	240	1490	card	N			lap	pagina	karta	
Kornai-2018-1400-241	241	82	care	V			ápol	curo	pielégnować	help, =PAT[sick], =AGT WANT [good FOR/2782 =PAT], =AGT THINK [=PAT[important]]
Kornai-2018-1400-242	242	903	care	N			gond	diligentia	opieka	
Kornai-2018-1400-243	243	3427	careful	N	2758	CAREFUL	óvatos	cautus	ostroz̈ny	
Kornai-2018-1400-244	244	1080	carry	V	700	CARRY	hord	fero	nosić	hold, transport
Kornai-2018-1400-245	245	695	case	N			eset	casus/causa	sprawa	example, situation
Kornai-2018-1400-246	246	2423	case	N			tok	theca	skrzynka	
Kornai-2018-1400-247	247	1575	cat	N	1208	CAT	macska	felis	kot	mammal, <AT/2744 house>, CATCH/828 vertebrate, <pet/966>
Kornai-2018-1400-248	248	387	catch	N	3320	SNARE (TRAP)	csapda	laqueus	chwyt	device, catch/828
Kornai-2018-1400-249	249	828	catch	V	702	CATCH	fog	capio	łapać	=AGT CAUSE[=PAT[move[lack]]], after(hold)
Kornai-2018-1400-250	250	1599	cattle	N	1153	CATTLE	marha	pecus	bydło	mammal, herbivore, AT/2744 farm, PRODUCE milk
Kornai-2018-1400-251	251	1891	cause	N	860	CAUSE	ok	causa	powód	reason
Kornai-2018-1400-252	252	609	cell	N			elem	membrum/particula/pila electrica	komórka	electric(energy) IN/2758
Kornai-2018-1400-253	253	2076	cell	N			sejt	cella	komórka	place/1026, HAS border, small, space/2327
Kornai-2018-1400-254	254		centre	N	491	CENTER	közép	centrum	centrum	centre
Kornai-2018-1400-255	255	1412	centre	N	491	CENTER	középpont	centrum	centrum	middle
