NUMBER	CHINESE	PAGENO	POS	SEMANTIC_FIELD	SF_IN_SOURCE	POS_IN_SOURCE	GLOSS	PINYIN	CONCEPTICON_ID	CONCEPTICON_GLOSS	MATCH_QUALITY
791	乖	396	adjective	behavior	五、品性、行為	形容詞	well-behaved	guāi	0	???	8

792	頑皮	396	adjective	behavior	五、品性、行為	形容詞	naughty	wán-pí	0	???	8

793	勤快	397	adjective	behavior	五、品性、行為	形容詞	diligent	qín-kuài	0	???	8

794	懶	397	adjective	behavior	五、品性、行為	形容詞	lazy	lǎn	0	???	8

795	能幹	398	adjective	behavior	五、品性、行為	形容詞	capable	nái-gàn	0	???	8

796	內行	398	adjective	behavior	五、品性、行為	形容詞	competent	nèi-hàng	0	???	8

797	外行	399	adjective	behavior	五、品性、行為	形容詞	incompetent	wài-hàng	0	???	8

798	髙興	399	adjective	mood	六、心理感受	形容詞	happy	gāo-xīng	0	???	8

799	合意	400	adjective	mood	六、心理感受	形容詞	suitable, pleasing	hé-yì	0	???	8

800	煩惱	400	adjective	mood	六、心理感受	形容詞	annoying	fán-nǎo	0	???	8

801	可憐	401	adjective	mood	六、心理感受	形容詞	pityful	kě-lián	0	???	8

802	倒黴	401	adjective	mood	六、心理感受	形容詞	having bad luck	dào-méi	???	???	8

803	奇怪	402	adjective	mood	六、心理感受	形容詞	strange	jī-guài	0	???	8

804	害怕	402	adjective	mood	六、心理感受	形容詞	scary	hài-bó	0	???	8

805	害羞	403	adjective	mood	六、心理感受	形容詞	shy	hài-xiū	487	SHY (adjective)	3

806	我	403	pronoun	personal	一、人稱代詞	代詞	I (first person singular)	wǒ	1209	I	2

807	你	404	pronoun	personal	一、人稱代詞	代詞	you (second person singular)	nǐ	1213	YOU	2

808	他	404	pronoun	personal	一、人稱代詞	代詞	he, she, it (third person singular)	tā/tuō	???	???	8
808	他	404	pronoun	personal	一、人稱代詞	代詞	he, she, it (third person singular)	tā/tuō	262	HE OR SHE OR IT	5

809	我們	405	pronoun	personal	一、人稱代詞	代詞	we (first person plural)	wǒ-men	1131	WE (INCLUSIVE)	2

810	咱們	405	pronoun	personal	一、人稱代詞	代詞	we (first person plural inclusive)	zá-men	1131	WE (INCLUSIVE)	3

811	你們	406	pronoun	personal	一、人稱代詞	代詞	you (second person plural)	nǐ-men	1213	YOU	2

812	他們	406	pronoun	personal	一、人稱代詞	代詞	they (third person plural)	tā-men	0	???	8

813	大家	407	pronoun	personal	一、人稱代詞	代詞	all, everybody	dà-jiā	98	ALL	2
813	大家	407	pronoun	personal	一、人稱代詞	代詞	all, everybody	dà-jiā	0	???	8

814	自己	407	pronoun	personal	一、人稱代詞	代詞	self, oneself	zì-jǐ	0	???	8

815	人家	408	pronoun	personal	一、人稱代詞	代詞	they, the others (third person plural)	rén-jiā	0	???	8

816	我的	408	pronoun	possessive	二、物主代詞	代詞	my (first person singular)	wǒ-dì	0	???	8

817	你的	409	pronoun	possessive	二、物主代詞	代詞	your (second person singular)	nǐ-dì	0	???	8

818	他的	409	pronoun	possessive	二、物主代詞	代詞	his, her, its (third person singular)	tā/tuō-dì	0	???	8

819	別的	410	pronoun	possessive	二、物主代詞	代詞	others, of the others	bié-dì	0	???	8

820	這個	410	pronoun	demonstrative	三、指示代詞	代詞	this	yàn-gè	1214	THIS	2

821	那個	411	pronoun	demonstrative	三、指示代詞	代詞	that	nuó-gè	78	THAT	2

822	這些	411	pronoun	demonstrative	三、指示代詞	代詞	these	yàn-suò	0	???	8

823	那些	412	pronoun	demonstrative	三、指示代詞	代詞	those	nuó-suò	0	???	8

824	這兒	412	pronoun	demonstrative	三、指示代詞	代詞	here	yàn-ní	136	HERE	2

825	那兒	413	pronoun	demonstrative	三、指示代詞	代詞	there	nuó-ní	1937	THERE	2

826	這邊	413	pronoun	demonstrative	三、指示代詞	代詞	this side, here	yàn-biān	???	???	8
826	這邊	413	pronoun	demonstrative	三、指示代詞	代詞	this side, here	yàn-biān	136	HERE	2

827	那邊	414	pronoun	demonstrative	三、指示代詞	代詞	that side, there	nuó-biān	???	???	8
827	那邊	414	pronoun	demonstrative	三、指示代詞	代詞	that side, there	nuó-biān	1937	THERE	2

828	這麽	414	pronoun	demonstrative	三、指示代詞	代詞	this way	yàn-mǒ	1214	THIS	5

829	那麽	415	pronoun	demonstrative	三、指示代詞	代詞	that way	nuó-mǒ	78	THAT	5

830	誰	415	pronoun	interrogative	四、疑問代詞	代詞	who	shuí	1235	WHO	2

831	什麽	416	pronoun	interrogative	四、疑問代詞	代詞	what	shí-mǒ	1236	WHAT	2

832	哪個	416	pronoun	interrogative	四、疑問代詞	代詞	which	nǎ-ge	0	???	8

833	哪兒	417	pronoun	interrogative	四、疑問代詞	代詞	where	nǎ-er	1237	WHERE	2

834	哪邊	417	pronoun	interrogative	四、疑問代詞	代詞	which place, where	nǎ-biān	0	???	8
834	哪邊	417	pronoun	interrogative	四、疑問代詞	代詞	which place, where	nǎ-biān	1237	WHERE	2

835	怎麽	418	pronoun	interrogative	四、疑問代詞	代詞	how	zěn-me	0	???	8

836	多麽	418	pronoun	interrogative	四、疑問代詞	代詞	how much, to which degree	duō-mǒ	0	???	8

837	多少	419	pronoun	interrogative	四、疑問代詞	代詞	how much	duō-shào	0	???	8

838	多久	419	pronoun	interrogative	四、疑問代詞	代詞	how long	duō-jiǔ	1203	LONG (adjective)	5

839	一個人	420	classifier	nominal	一、物量詞	量詞	piece (classifier for persons)	yī-gè-rén	0	???	8

840	一頭牛	420	classifier	nominal	一、物量詞	量詞	head (classifier for cows)	yī-tóu-niú	1256	HEAD (noun)	3

841	一只雞	421	classifier	nominal	一、物量詞	量詞	piece (classifier for chickens)	yī-zhī-jī	0	???	8

842	一條魚	421	classifier	nominal	一、物量詞	量詞	piece (classifier for fishes)	yī-tiáo-yú	0	???	8

843	一棵樹	422	classifier	nominal	一、物量詞	量詞	piece (classifier for trees)	yī-huàn-shù	0	???	8

844	一叢草	422	classifier	nominal	一、物量詞	量詞	bush (classifier for grass)	yī-cóng-cǎo	0	???	8

845	一朵花兒	423	classifier	nominal	一、物量詞	量詞	bud (classifier for flower)	yī-duǒ-huā-ní	0	???	8

846	一串葡萄	423	classifier	nominal	一、物量詞	量詞	chain (classifier for grapes)	yī-chuàn-pú-táo	0	???	8

847	一頓飯	424	classifier	nominal	一、物量詞	量詞	portion (classifier for food)	yī-dùn-fàn	0	???	8

848	一支煙	424	classifier	nominal	一、物量詞	量詞	piece (classifier for cigarettes)	yī-zhī-yān	0	???	8

849	一瓶酒	425	classifier	nominal	一、物量詞	量詞	bottle (classifier for alcohol)	yī-píng-jiǔ	0	???	8

850	一口水	425	classifier	nominal	一、物量詞	量詞	mouth (classifier for water)	yī-kǒu-shuǐ	674	MOUTH (noun)	3

851	一套衣服	426	classifier	nominal	一、物量詞	量詞	piece (classifier for clothes)	yī-tào-yī-fú	0	???	8

852	一雙鞋	426	classifier	nominal	一、物量詞	量詞	pair (classifier for shoes)	yī-shuāng-xié	0	???	8

853	一條被子	427	classifier	nominal	一、物量詞	量詞	piece (classifier for blankets)	yī-tiáo-bì-zǐ	0	???	8

854	一頂帳子	427	classifier	nominal	一、物量詞	量詞	piece (classifier for heats)	yī-dǐng-zhàng-zǐ	0	???	8

855	一把刀	428	classifier	nominal	一、物量詞	量詞	handle (classifier for knives)	yī-bǎ-dāo	0	???	8

856	一根針	428	classifier	nominal	一、物量詞	量詞	piece (classifier for needles)	yī-gēn-zhēn	0	???	8

857	一座房子	429	classifier	nominal	一、物量詞	量詞	piece (classifier for houses)	yī-zuò-páng-zǐ	0	???	8

858	一座橋	429	classifier	nominal	一、物量詞	量詞	piece (classifier for bridges)	yī-zuò-qiáo	0	???	8

859	一扇門	430	classifier	nominal	一、物量詞	量詞	fan (classifier for doors)	yī-shàn-mén	0	???	8

860	一輛車	430	classifier	nominal	一、物量詞	量詞	piece (classifier for cars)	yī-liàng-chē	0	???	8

861	一只船	431	classifier	nominal	一、物量詞	量詞	piece (classifier for ship)	yī-zhī-chuán	0	???	8

862	一件事情	431	classifier	nominal	一、物量詞	量詞	piece (classifier for thing)	yī-jiàn-zì-qíng	0	???	8

863	一筆生意	432	classifier	nominal	一、物量詞	量詞	pencil (classifier for business deals)	yī-bǐ-shēng-yì	0	???	8

864	逼(看一遍)	432	classifier	verbal	二、動量詞	量詞	time (look one time)	bī (-kàn-yī-biàn-)	0	???	8

865	次(這一次)	433	classifier	verbal	二、動量詞	量詞	time (this time)	cì (-yàn-yī-cì-)	0	???	8

866	趟(走一趟)	433	classifier	verbal	二、動量詞	量詞	walk (walk a walk)	zhèng (-zòu-yī-zhèng-)	1443	WALK (verb)	3

867	頓(打一頓)	434	classifier	verbal	二、動量詞	量詞	time (beat one time)	dùn (-dǐng-yī-dùn-)	0	???	8

868	下(打一下)	434	classifier	verbal	二、動量詞	量詞	a little bit (beat a little)	xià (-dǐng-yī-xià-)	0	???	8

869	從前	435	adverb			副詞	formerly	cōng-qián	0	???	8

870	剛才	435	adverb			副詞	just a short while ago	gāng-cái	???	???	8

871	現在	436	adverb			副詞	now	xiàn-zài	0	???	8

872	一向	437	adverb			副詞	all along	yī-shàng	???	???	8

873	預先	437	adverb			副詞	in advance	yù-xiān	0	???	8

874	巳經	438	adverb			副詞	already	sì-jīng	0	???	8

875	常常	438	adverb			副詞	often	cháng-cháng	0	???	8

876	趕快	439	adverb			副詞	fast, quick	gǎn-kuài	0	???	8

877	馬上	439	adverb			副詞	immediately	mǎ-shàng	0	???	8

878	很	440	adverb			副詞	very	hěn	0	???	8

879	更	440	adverb			副詞	more	gèng	0	???	8

880	最	441	adverb			副詞	most	zuì	0	???	8

881	太	441	adverb			副詞	too	tài	0	???	8

882	稍微	442	adverb			副詞	a little	shāo/shào-wēi/wéi	0	???	8

883	恰巧	442	adverb			副詞	by chance	qià-qiào	0	???	8

884	都	443	adverb			副詞	all	dū	98	ALL	2

885	統統	443	adverb			副詞	completely	tǒng-tǒng	0	???	8

886	一起	444	adverb			副詞	together	yī-qǐ	0	???	8

887	又	444	adverb			副詞	again	yòu	0	???	8

888	再	445	adverb			副詞	again	zài	0	???	8

889	仍舊	445	adverb			副詞	still	réng-jiù	0	???	8

890	反正	446	adverb			副詞	anyhow	fǎn-zhèng	0	???	8

891	大約	446	adverb			副詞	probably	dà-yuē	0	???	8

892	一定	447	adverb			副詞	certainly	yī-dìng	0	???	8

893	不	447	adverb			副詞	not	fǒu	0	???	8

894	沒〔有〕(未)	448	adverb			副 詞	not	mò-〔-yǒu-〕 (-wèi-)	0	???	8

895	別	448	adverb			副詞	other	bié	0	???	8

896	不用	449	adverb			副詞	need not	fǒu-yòng	0	???	8

897	把	449	preposition			介詞、連詞	regard as, with	bǎ	0	???	8

898	被	450	preposition			介詞、連詞	by	bì	0	???	8

899	替	450	preposition			介詞、連詞	instead of	tì	0	???	8

900	在	451	preposition			介詞、連詞	in	zài	0	???	8

901	從	451	preposition			介詞、連詞	from	cōng	0	???	8

902	到	452	preposition			介詞、連詞	until	dào	0	???	8

903	向	452	preposition			介詞、連詞	towards	shàng	0	???	8

904	和	453	preposition			介詞、連詞	and	hè	0	???	8

905	如果	453	preposition			介詞、連詞	if	rú-guǒ	0	???	8

